ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1546129620319305736,2022-07-10 13:50:01+00:00,0,0,0,💰 Así podrías llevarte el Euromillones sin acertar todos los números  https://t.co/DWkQuBZTaO
1546124986099896320,2022-07-10 13:31:36+00:00,5,1,2,"🗓Han pasado 25 años del secuestro de Miguel Ángel Blanco, un momento que cambió la historia de España

📺 #ElInstanteDecisivo, el miércoles a las 22:30h en 
@laSextaTV 

Y ya disponible en #ATRESplayerPREMIUM 

▶️ https://t.co/Tv2oulOHzv https://t.co/h3lU01oXJ8"
1546122450798346240,2022-07-10 13:21:32+00:00,15,7,20,🚨 🦠 Saltan las alarmas con Centaurus: la nueva variante de #coronavirus es cinco veces más contagiosa que ómicron  https://t.co/37m8emaiGG
1546119803957645312,2022-07-10 13:11:01+00:00,5,1,2,"VÍDEO | El discurso de Felipe VI, en Ermua: 

🗣 ""Hay fechas que permanecen para siempre en nuestro recuerdo, que nos acompañan durante toda nuestra vida""
 https://t.co/lDxT5aIYAT"
1546117353968115713,2022-07-10 13:01:17+00:00,14,0,6,"🔴 Homenaje de Estado a Miguel Ángel Blanco cuando se cumplen 25 años de su asesinato a manos de ETA. Te cuenta toda la actualidad @MonicaCarrillo en las #NoticiasFinDeSemanaA3

La #últimahora ➡️ https://t.co/SB64iQ6gi1

EN DIRECTO 📡 https://t.co/ABZVXSB3ZA https://t.co/E2o2WFqOAS"
1546114522016014336,2022-07-10 12:50:02+00:00,4,0,0,"🚨🏁 ¡Día de carrera! ¡Ya estamos con la previa del #GPAustria!

🔴 Sigue en DIRECTO la última hora sobre la carrera de #F1 en @Antena3Deportes https://t.co/l6zIHQdANj"
1546114514021535744,2022-07-10 12:50:00+00:00,6,1,4,🛣 ¿Estás satisfecho con las carreteras y autopistas españolas? Estas son las peores valoradas según la OCU https://t.co/hsWxcTRB22
1546112253266722817,2022-07-10 12:41:01+00:00,2,1,0,"📖 Laura Santolaya (@p8ladas) publica #BombaDeHumo, el viaje de una treinteañera lleno de ironía, humor y reflexiones sobre la madurez https://t.co/v2J4KtXiYw"
1546111997464305664,2022-07-10 12:40:00+00:00,4,0,10,"Un joven le cuenta la oferta de empleo que acaba de recibir y la respuesta de Yolanda Díaz se hace viral: ""La madre que me parió"" https://t.co/nhX44rmHPJ"
1546109488779894786,2022-07-10 12:30:02+00:00,18,3,0,📈 Lidl ha pactado una subida salarial a sus trabajadores y este año la remuneración de los empleados aumentará un 7% https://t.co/mrBIFXf9rj
1546104706312933380,2022-07-10 12:11:01+00:00,8,3,6,🔹 A partir de 2023 se podría exigir una nota mínima para acceder a las becas escolares según plantea la Comunidad de Madrid https://t.co/NIZ50tF1l5
1546104447687966720,2022-07-10 12:10:00+00:00,11,0,1,"VÍDEO | La hermana de Miguel Ángel Blanco, el concejal asesinado por ETA, ha pedido unidad política y social en Ermua y ""que se haga justicia""

🗣 ""Hoy hace 25 años comenzaron las peores 48 horas de mi vida"" https://t.co/7LXmQjmzQc"
1546101937111814145,2022-07-10 12:00:01+00:00,2,1,0,"👩‍🎓 Se gradúa en la secundaria y la universidad al mismo tiempo

👉🏼 Es la historia de una joven mexicana de 18 años 
 https://t.co/4FiRj8mcCN"
1546100672726065152,2022-07-10 11:55:00+00:00,15,5,3,"🔴 DIRECTO | Felipe VI preside el homenaje a las víctimas del terrorismo en Ermua: 

🗣️ ""Vine a Ermua aquel 14 de julio de 1997. Nunca podré olvidar cada instante de aquel día. Estaba desolado. Tenía 29 años, la misma edad que Miguel Ángel Blanco""

▶️ https://t.co/ZPNiFdgpSv https://t.co/RmqZyY8HpU"
1546099422358020097,2022-07-10 11:50:02+00:00,3,1,12,💵 Este límite es impuesto tanto por el Banco como por Hacienda para evitar posibles fraudes fiscales https://t.co/iHFmQpWiGw
1546098156277886976,2022-07-10 11:45:00+00:00,1,0,5,"🔴 DIRECTO | Pedro Sánchez en el homenaje a las víctimas del terrorismo en Ermua: 

🗣️ ""En esos días nació un frente común espontáneo contra la violencia, la injusticia y la barbarie""

▶️ https://t.co/ZPNiFdgpSv https://t.co/KQ0dEqZhi0"
1546096904987099136,2022-07-10 11:40:01+00:00,11,1,26,"🚨 El peligroso reto viral de aguantar la respiración: cuatro personas han perdido la vida al practicarlo 

👉🏼 ""Quienes realizan el reto tienen que dejar de respirar hasta sufrir una especie de prelipotimia"". Vía @EspejoPublico https://t.co/bgH7d9RkDo"
1546094386303344640,2022-07-10 11:30:01+00:00,3,2,7,🥩 El 80% de la carne y los productos lácteos de animales de granja analizados por científicos contienen microplásticos  https://t.co/72KRwUNGms
1546092122830422017,2022-07-10 11:21:01+00:00,1,1,1,"La Ruta Xacobea 'Yakart Camino de Santiago' de este año reunirá a 120 personas en 55 caravanas 

👣 #DejaTuHuellaEnGalicia @Antena3Galicia 
 https://t.co/nef7hGONDT"
1546089355206426624,2022-07-10 11:10:01+00:00,7,1,1,"🗣 Pau Gasol: ""Me sorprenden las formas del Real Madrid hacia Pablo Laso""

⛔ Los blancos destituyeron al histórico entrenador por ""razones médicas"" https://t.co/MkVieIiwPe"
1546086434720714752,2022-07-10 10:58:25+00:00,12,3,5,"🔴 DIRECTO | Marimar Blanco en el homenaje a las víctimas del terrorismo cuando se cumplen 25 años del asesinato de Miguel Ángel Blanco

🗣️ ""No es fácil estar hoy aquí. Lo mejor y lo peor de mi vida están relacionados con este querido municipio, Ermua""

▶️ https://t.co/ZPNiFdgpSv https://t.co/LgM5t74vuF"
1546075341256638464,2022-07-10 10:14:20+00:00,10,2,3,"🔴 DIRECTO | Sigue aquí el homenaje de Estado a Miguel Ángel Blanco, el concejal del PP asesinado por ETA hace 25 años https://t.co/206FELs9CB"
1546074505436696576,2022-07-10 10:11:01+00:00,9,1,2,"El mensaje de Shakira a su padre, cargado de fortaleza: 

🗣 ""Nos enseñaste a levantarnos después de cada caída y esta vez sabemos que lo volverás a hacer"" https://t.co/EGOucinS29"
