ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1543849589819596801,2022-07-04 06:50:00+00:00,0,1,0,"El 86% de las denuncias en España por ciberdelito acaba sin resolverse.

Las estafas en la red crecen un 28%, pero los fiscales lamentan la falta de medios.

✍️ @Piersandri 

https://t.co/tyiXYz27fG"
1543847073434533890,2022-07-04 06:40:00+00:00,2,1,0,"THE SITUATION ROOM | Hacerlo bien, contarlo mejor

""La izquierda tiene que trabajar unida, atrapar a los jóvenes y tiene que explicar fácil lo que hace"".

✍️ Iván Redondo, @thewarroomblog.

https://t.co/rjIiC18iIR"
1543844556944261121,2022-07-04 06:30:00+00:00,1,2,0,"Trump estudia lanzar ya su candidatura al 2024 y así dificultar que le imputen por el golpe.

El comité del asalto al Capitolio alerta sobre las intimidaciones a testigos de cargo contra el ex presidente.

✍️ @fgdelrio, Washington.

https://t.co/WZh3kzVmZU"
1543842040068317184,2022-07-04 06:20:00+00:00,2,0,0,"José Manuel Albares: “La relación con Estados Unidos es la más estrecha en veinte años”.

El ministro de Asuntos Exteriores sostiene que “la OTAN no desafía a nadie"".

✍️ Entrevista de @EnricJuliana  

https://t.co/qWdWuMMZpA"
1543839523506860035,2022-07-04 06:10:00+00:00,0,1,0,"🔴Al menos tres muertos después de un tiroteo en un centro comercial de Copenhague.

La Policía danesa ha detenido a un joven de 22 años como sospechoso del ataque.

https://t.co/kV4CcVGwG0"
1543837011341197313,2022-07-04 06:00:01+00:00,4,3,3,"🔴Ocho policías disparan decenas de veces y matan a un joven negro desarmado en Ohio.

Ante las protestas ciudadanas, la policía difunde el vídeo grabado por la cámara corporal de uno de los agentes.

✍️ @fgdelrio 
 https://t.co/3svcSTboSj"
1543833987029684224,2022-07-04 05:48:00+00:00,14,4,0,"🤽‍♂️Waterpolo: España vuelve a bañarse en oro, 21 años después

La selección de David Martín vence en los penaltis a Italia (14-15) guiado por una sensacional Unai Aguirre, que paró dos lanzamientos

✍️@toniljorda 

https://t.co/uT9steXRyo"
1543830967126720515,2022-07-04 05:36:00+00:00,3,1,0,"El debate abierto tras el anuncio de un referéndum consultivo en Escocia en 2023 tiene muchas caras desde la óptica política española y catalana.

El Govern vuelve a mirar a Edimburgo, pero su foco de atención principal está en la UE.

✍️@cristinasenl  

https://t.co/q50iWMGKiJ"
1543827947156426753,2022-07-04 05:24:00+00:00,3,2,4,"Leonor empieza en el museo Dalí su tercera visita a Catalunya

La princesa de Girona y la infanta Sofía han sido recibidas en Figueres entre aplausos de manifestantes de una asociación monárquica y abucheos de grupos independentistas

✍️@malcazarm 
https://t.co/bZ6JgB8Ff9 https://t.co/vGywfxKDue"
1543826129009754112,2022-07-04 05:16:46+00:00,5,4,0,"Moscú refuerza sus lazos con Argelia, Egipto y otros países del continente africano https://t.co/c5TdU6W3rf"
1543824927329075201,2022-07-04 05:12:00+00:00,2,1,1,"L más V+ | Los hijos de centenarios comparten su huella genética de la longevidad.

Los descendientes de personas con una larga vida envejecen mucho mejor que sus coetáneos.

Informa 
@Mayterius

https://t.co/PfLu2QruCr https://t.co/3KfgHLtQnt"
1543821912794574853,2022-07-04 05:00:01+00:00,1,1,1,"Lo más V+ | ¿Cuáles son las mejores universidades para estudiar en España?

Las universidades catalanas lideran el ranking tanto en calidad de grados como en posgrados.

✍️Màrius Sin
https://t.co/biEGGE8iRl https://t.co/ymkeA1D0SH"
1543820615701905408,2022-07-04 04:54:52+00:00,2,3,0,Es una de las poetas que tiene más demanda para recitar: el viernes 8 de julio actúa con b1n0 en el festival Poesia i https://t.co/TBySwGiojY
1543734464555192320,2022-07-03 23:12:32+00:00,16,7,4,La Policía danesa ha detenido a un joven de 22 años como sospechoso del ataque https://t.co/pOwIUo8V39
1543720356963311617,2022-07-03 22:16:28+00:00,3,1,1,De sacrificios y de dejar lastre @fmarcalvaro https://t.co/rEx9txZF8Y
1543716840358256640,2022-07-03 22:02:30+00:00,10,2,0,"La selección de David Martín vence en los penaltis a Italia (14-15) guiado por un sensacional Unai Aguirre, que paró un lanzamiento https://t.co/3wf8cRDt5z"
1543701111483293697,2022-07-03 21:00:00+00:00,5,2,3,"¿Cuánto sueño es necesario para un tener un peso saludable?

Los expertos aseguran que cuanto más y mejor se duerme, más calorías se queman y mejor se mantiene el peso

https://t.co/eoaMOcSnY9"
1543697336555241473,2022-07-03 20:45:00+00:00,7,2,2,"Así es el nuevo hiperdeportivo de hidrógeno que supera los 1.000 CV

Sólo se producirán 25 unidades del Viritech Apricale, que integra el inconfundible diseño de Pininfarina

https://t.co/1463cx70Im https://t.co/KNRMSH2mkc"
1543693562969108481,2022-07-03 20:30:00+00:00,1,1,0,"Baúl de bulos | La caja fuerte de los suegros de Henri Matisse

""Henri se plantó en París con una mano delante y otra detrás. Sirva este caso como metáfora del vacío que se halla tras tantas promesas de toda índole"" escribe John William Wiklinson

https://t.co/vGfQUg0EmY"
1543687270720368640,2022-07-03 20:05:00+00:00,5,1,0,"El coronavirus permanece más que el virus de la gripe. Pero ¿cuánto más?

Los estudios tratan de relacionar la presencia de SARS-CoV-2 o su ARN con la covid persistente.

Informa @fbracero1964

https://t.co/WscGl4ZB6u"
1543686012861263872,2022-07-03 20:00:00+00:00,3,7,1,"Una turista austriaca muere tras ser atacada por un tiburón en Egipto

La víctima se encontraba nadando en Hurgadha, uno de los lugares más reconocidos del mundo para la práctica del buceo
https://t.co/XgN3LyyEJ8"
1543685323657453569,2022-07-03 19:57:16+00:00,8,5,1,"Las dos partes han negociado durante cuatro años para alcanzar el acuerdo, que dotará de representatividad ante la multinacional a más de 237.000 trabajadores https://t.co/H30To49Ykc"
1543682399149629441,2022-07-03 19:45:38+00:00,21,6,0,"🤽‍♂️Waterpolo: España vuelve a bañarse en oro, 21 años después

La selección de David Martín vence en los penaltis a Italia (14-15) guiado por una sensacional Unai Aguirre, que paró dos lanzamientos

✍️@toniljorda 

https://t.co/uT9stffsWY"
1543682237048049664,2022-07-03 19:45:00+00:00,1,1,0,"""Hubo un uso excesivo de la fuerza en Melilla""

El vicepresidente de la Comisión Europea, Margaritis Schinás, cree que ""nunca habrá una política de inmigración con una frontera exterior no vigilada"".

Entrevista por @MarinaMeseguer
https://t.co/dUeLOfldeX"
1543678463353262083,2022-07-03 19:30:00+00:00,3,7,0,"Tras ver su foto publicada en 'La Vanguardia', varias mujeres han descubierto que podrían ser víctimas del acosador que Paula Bonet, Víctor G.T.

Informa @laragomez93

https://t.co/FHmi5QrstE https://t.co/8ucHgEfUr0"
1543677663134482445,2022-07-03 19:26:49+00:00,12,15,0,"🔴#ÚLTIMAHORA La policía danesa confirma varios muertos en el tiroteo en un centro comercial de Copenhague.

Sigue aquí al minuto las novedades de este ataque 👇

https://t.co/ar5mLDRbCP https://t.co/8MX4LQifCt"
1543676097774092289,2022-07-03 19:20:36+00:00,7,5,0,La policía danesa confirma varios muertos en el tiroteo en un centro comercial de Copenhague https://t.co/KiuuiUsM3U
1543674687275667456,2022-07-03 19:15:00+00:00,3,2,1,"Europa renueva sus cohetes para competir con SpaceX

El lanzamiento del Vega-C este mes marca el inicio de una nueva era para los cohetes europeos

Un reportaje de @JosepCorbella 
https://t.co/xWeabwfDOF"
1543672416173699073,2022-07-03 19:05:58+00:00,5,1,1,La Policía danesa ha informado de un supuesto atentado en un concurrido establecimiento de la capital danesa https://t.co/pOwIUo9sSH
1543672171041415168,2022-07-03 19:05:00+00:00,3,0,0,"""Barcelona tiene más un problema de incivismo que de inseguridad""

El conseller de Interior, @joanignasielena, acusa a Sánchez de haber roto la confianza con el Govern y reclama ""hechos"" para rehacer la relación.

Entrevista por @angulo_silvia y @ramonsune
https://t.co/EoJ8T6ZQAs https://t.co/kGd6zoTuq0"
1543670914960744449,2022-07-03 19:00:00+00:00,4,3,0,"Alemania prepara su rearme con un Panther futurista

El modelo hereda el nombre del icónico y temido carro de combate Panzer V alemán de la Segunda Guerra Mundial

✍️@FigueredoE 
https://t.co/3RKRTHJhUK https://t.co/MbXilfgbP0"
1543667650626207746,2022-07-03 18:47:02+00:00,7,1,1,"🎾Este año no va a poder brillar Alcaraz en Wimbledon.

Jannik Sinner, compañero de generación, se reivindica ante el 'teenager' murciano, que no logra entrar en el partido y abandona Londres en octavos de final: 6-1, 6-4, 6-7 (8) y 6-3

✍️ @sheredia70 

https://t.co/zAGNlQqy4c"
1543667137860014080,2022-07-03 18:45:00+00:00,88,50,29,"Las sanciones contra Putin siguen sin afectar al nivel de vida de los rusos.

Por añadidura, Rusia ha encontrado en sus socios asiáticos China e India un mercado para el petróleo que deja de comprar Europa.

Informa @GonAragones, corresponsal en Moscú.
https://t.co/qRBR60sX01"
1543667031962259457,2022-07-03 18:44:35+00:00,8,0,0,"Jannik Sinner, compañero de generación, se reivindica ante el 'teenager' murciano, que no logra entrar en el partido y abandona Londres en octavos de final: 6-1, 6-4, 6-7 (8) y 6-3, en 3h35m https://t.co/AEan0D2EM6"
1543663363019968514,2022-07-03 18:30:00+00:00,3,0,0,"Opinión | Síndrome del hombre bajito

""Los imbéciles de la OTAN no se enteran. No se dan cuenta de que les estoy ganando la partida, que cada jugada que hacen solo sirve para consolidar mi poder"", escribe John Carlin

https://t.co/hLVPPkBqfI https://t.co/Xp1Z73F4is"
1543659588020449280,2022-07-03 18:15:00+00:00,49,14,9,"""Pretender entender lo que pasa en Rusia con la mentalidad europea es un ejercicio que lleva al error. Difícilmente Putin va a ser derribado por el impacto económico de las sanciones""

La opinión del director de 'La Vanguardia', @Jordi__Juan
https://t.co/9zm1lsdsis https://t.co/tfWXCP49aV"
