ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1543633172717621250,2022-07-03 16:30:02+00:00,3,1,0,Ejército del Espacio https://t.co/93yxUDbqF0 ✍ La opinión de @AbeInfanzon
1543629396942143494,2022-07-03 16:15:02+00:00,29,3,4,👏 Un hombre que estaba teniendo «un mal día» compra un boleto de lotería al salir del trabajo y gana un millón de euros https://t.co/DT0PXeHARi
1543626879202213888,2022-07-03 16:05:01+00:00,2,0,1,"Pedro García, el guardián del Mar Menor https://t.co/7kWQlJVN6r #Antropía #sostenibilidad"
1543626429094666245,2022-07-03 16:03:14+00:00,26,5,5,Leonor reivindica su título de Princesa de Girona en Figueras https://t.co/MRgvDISIzn Informa @AngieCalero
1543625622446084096,2022-07-03 16:00:02+00:00,2,0,0,"El independentismo escocés saca pecho y convoca a las urnas de nuevo pese a que las encuestas no le son favorables https://t.co/5qKgCYznvN Informa Ivannia Salazar, corresponsal en Londres"
1543621845068439554,2022-07-03 15:45:01+00:00,1,2,1,"Otros dos británicos, acusados de mercenarios por los rusos en Ucrania https://t.co/PcECouAjK0 Informa Ivannia Salazar, corresponsal en Londres"
1543618071616782338,2022-07-03 15:30:01+00:00,2,2,2,Después de la Cumbre https://t.co/BPAuxBOJVz ✍ La opinión de José María Carrascal
1543614297577865217,2022-07-03 15:15:02+00:00,0,1,1,Cómo evitar coger hongos en las piscinas municipales y duchas públicas https://t.co/RwhbB6TKYU Por @meryguana_
1543613067011006471,2022-07-03 15:10:08+00:00,9,2,0,🔵 #DIRECTO Alcaraz busca ante Sinner meterse en los cuartos de final https://t.co/gFZyUm6LYQ #Wimbledon
1543610520233811973,2022-07-03 15:00:01+00:00,9,3,1,"El 'exconseller' Gordó, a Puigdemont: «Hay que echar al auditor. Va a cargarse la financiación de Convergència» https://t.co/2oteVGSdCI Por @AdriCabezass"
1543606748505849857,2022-07-03 14:45:02+00:00,3,1,0,¿Qué son las 'loot boxes' que Garzón quiere prohibir a menores? https://t.co/GnzRYMFD7K Por @meryguana_
1543605860831793152,2022-07-03 14:41:30+00:00,25,4,1,"⚫ Fallece Susana Dosamantes, célebre actriz mexicana y madre de Paulina Rubio https://t.co/8FiRwcdSgh Informa Borja Rama"
1543602973275815938,2022-07-03 14:30:02+00:00,3,1,0,La memoria en la nuca https://t.co/lRVSoJV1Kz ✍ La opinión de @AlbertoGReyes
1543599195222904832,2022-07-03 14:15:01+00:00,8,2,9,El juez que autorizó el cambio registral de sexo: «Tuve que despojarme de prejuicios. Él es un niño» https://t.co/pZ24yOZcNm Por @lassieou
1543595422203133952,2022-07-03 14:00:01+00:00,8,4,1,"▶ Cariño, la aldea gallega que renace con el éxodo ucraniano https://t.co/OyORAZFySr Por @bealozanoechaza, @NxBalinot y @AndreaDeep"
1543594165459632128,2022-07-03 13:55:02+00:00,16,1,13,🔴 Un niño de 12 años resulta herido grave al ser corneado por una vaca en la localidad valenciana de Puçol https://t.co/0OUWgGHYOC
1543593900711055360,2022-07-03 13:53:59+00:00,6,2,1,"🔵 #DIRECTO Sigue el GP de Gran Bretaña, con Carlos Sainz saliendo desde la pole en busca de su primera victoria en el Mundial https://t.co/NumbXKuwJg"
1543591646289330181,2022-07-03 13:45:01+00:00,9,2,1,De Mondragón a la tregua trampa de 1998 https://t.co/jQekS2cEPj Por @pablomunozabc
1543587876113453058,2022-07-03 13:30:02+00:00,3,0,1,"Más poesía y menos Prozac https://t.co/3KE38wqSDj

✍ La Tercera de ABC, por Manuel Casado Velarde"
1543584104259756033,2022-07-03 13:15:03+00:00,1,0,1,"🍽 Cowboy caviar, la receta viral del verano que es más barata de lo que parece https://t.co/Vw1cH5sLwG"
1543580324168404993,2022-07-03 13:00:02+00:00,6,1,0,"«La sentencia de Bataclan no me repara nada, para mí todos los días son 13 de noviembre» https://t.co/ww9x2uAjAU Por Laura L. Caro"
1543576547205951488,2022-07-03 12:45:01+00:00,2,5,1,"¿Clorhexidina, povidona yodada, agua oxigenada o mercromina? Los consejos de las enfermeras para curarheridas y evitar que se infecten https://t.co/k1xcKcvPDt"
1543572773058105345,2022-07-03 12:30:01+00:00,19,6,1,La memoria de Ortega Lara y Miguel Ángel https://t.co/HznfrUwItM ✍ La opinión de @ExpositoCOPE
1543568998528417792,2022-07-03 12:15:02+00:00,30,14,3,"🔴 Dimite el ministro de Economía argentino en plena crisis política y con la inflación desbocada https://t.co/348AWJ4D9Q Por Guadalupe Piñeiro Michel, corresponsal en Buenos Aires"
1543565224523010048,2022-07-03 12:00:02+00:00,45,15,2,La liberación de Ortega Lara demostró que la vía policial podía vencer a ETA https://t.co/XFRnttqmQW Por @pablomunozabc
1543561448244264960,2022-07-03 11:45:01+00:00,11,3,0,"⚫ Muere Peter Brook, el gran renovador del teatro internacional https://t.co/LfOjLKh7Ua"
1543557671491624961,2022-07-03 11:30:01+00:00,11,2,5,"✍ #EditorialABC Escocia, Cataluña y el separatismo https://t.co/Nx2jZ6ztbJ"
1543553897800802305,2022-07-03 11:15:01+00:00,7,6,0,🍛 Este es el mineral que más ayuda a desinflamar el cuerpo https://t.co/xG8bZDZQk0 Por Niklas Gustafson
1543550122407219200,2022-07-03 11:00:01+00:00,6,1,7,Salvador Illa: «No hay un problema entre Cataluña y España; lo que hay es un problema entre catalanes» https://t.co/6GWQNKJRlH Por @alex_gubern y @isikagua
1543546349509136386,2022-07-03 10:45:02+00:00,3,1,1,El temor de no encontrar nada más diez años después del Higgs https://t.co/JyPaGdtMLf Por @judithdj
1543542574648107010,2022-07-03 10:30:02+00:00,6,3,0,Se acabó el masaje https://t.co/G3jJKl1bEv ✍ La opinión de Ignacio Camacho
1543538798243577856,2022-07-03 10:15:01+00:00,22,6,2,🔴 Alejandro Valverde: su atropello fue intencionado por un coche que se dio a la fuga https://t.co/yu4bdhLt8w Informa Paula Rodríguez
1543535034010845184,2022-07-03 10:00:04+00:00,17,7,1,La doble cara de Sánchez: de víctima de «poderes ocultos» en España a «actor global» en el exterior https://t.co/fnXxI2p4HI Por @mariano_alonsof
1543531476163125248,2022-07-03 09:45:56+00:00,200,92,17,"🔴 #ÚLTIMAHORA Muere Fernando García de Cortázar, el gran historiador que reconcilió a los españoles con su pasado https://t.co/4MRBQXFBoF Informa @C_Cervera_M"
1543531251126108161,2022-07-03 09:45:02+00:00,17,2,13,▶ La semana laboral de cuatro días comienza en pruebas en España: «El fin de semana de tres días es el futuro» https://t.co/dQMLaaZNGZ Por @TeresaSV y Fernando Sánchez
1543527475711459328,2022-07-03 09:30:02+00:00,7,1,0,El temor de Sánchez en Indra no es una opa sino una guerra de opas https://t.co/hGeivFZDlI ✍ La opinión de @MJPerez_ABC
1543522598553804801,2022-07-03 09:10:39+00:00,10,3,0,"🔴 #ÚLTIMAHORA Un muerto y cinco heridos graves en la colisión de dos autobuses y un coche en Moraleda de Zafayona, Granada https://t.co/Lzr1HqkxG5"
1543519926069170178,2022-07-03 09:00:02+00:00,15,6,5,El asalto del Gobierno espanta a los fondos de Indra y retrae el interés por otras empresas https://t.co/8cZpSTUj5G Informan @ggines y @danicb13
1543516149903769600,2022-07-03 08:45:01+00:00,2,4,0,El 'boom' económico que olvidó a los hijos de Chávez https://t.co/o3G2iha9fS Por @alvaroybarra
1543512373897695233,2022-07-03 08:30:01+00:00,11,3,2,✍ #EditorialABC Las empresas pagan caro el intervencionismo político https://t.co/CzRwLxO7c0
1543508600223633409,2022-07-03 08:15:01+00:00,8,1,11,El viaje de Amir desde Sudán a la valla de Melilla: «Preferí sacrificar mi vida por mi futuro» https://t.co/WfqgaLOSNB Por @cruzmorcillo
1543504826574815232,2022-07-03 08:00:02+00:00,2,1,0,Los siete mejores consejos para mantener la calma en caso de accidente https://t.co/r6BnWcwNEn
1543501051554299904,2022-07-03 07:45:02+00:00,13,4,1,"Convertir la lava en plátano, así es como los agricultores palmeros podrían conseguirlo https://t.co/c6J6iZQKnC Informa Laura Bautista"
1543497275388973057,2022-07-03 07:30:01+00:00,10,1,0,#LoMásLeído 👉 Los hoteles lanzan una ofensiva para descolgarse de Booking https://t.co/4DC7Y4XeXt
