ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1542178480884174848,2022-06-29 16:09:36+00:00,2,1,0,"""Europa tiene un problema mayor en su frontera sur"", advertía el presidente de Melilla tras la muerte de decenas de migrantes que intentaron saltar de Marruecos al enclave español. Cinco días después, siguen las denuncias por la violencia.  https://t.co/kg3FzsnMeN"
1537520709299322890,2022-06-16 19:41:17+00:00,22,4,3,🇪🇸 Día Mundial de la Tapa: ¿cuál de estas es tu favorita? https://t.co/WWQo4d6dRc
1532805255053836290,2022-06-03 19:23:45+00:00,2,2,11,"La escasa mano de obra en España ha promovido que jóvenes latinoamericanos viajen a ese país para esquilar ovejas.
Mira las imágenes de su labor. ✂️ 🐑
https://t.co/i90HU9QhLK"
1529853161711738883,2022-05-26 15:53:11+00:00,26,12,5,España es el país europeo con más casos de contagios de la viruela del mono https://t.co/KOYNfrJy7N
1528819218745020416,2022-05-23 19:24:40+00:00,20,4,4,"🇪🇸 Esta es primera visita de don Juan Carlos I a su familia tras casi dos años, luego de que el rey emérito se fuera a vivir a Abu Dhabi. 
https://t.co/r6PqKLh4Pw"
1526584383850926083,2022-05-17 15:24:14+00:00,15,10,2,España otorga nuevos derechos a las mujeres en la ley de aborto y causa polémica por algunas reformas hechas a la interrupción del embarazo y menstruación. Más detalles aquí https://t.co/rqVYrtnjfk
1517607378711105536,2022-04-22 20:52:49+00:00,3,0,0,"Esto es lo que debes saber sobre el magnate ruso que apareció muerto junto a su familia en su lugar de residencia en España.
https://t.co/sQafIj9Ojx"
1516189489634369538,2022-04-18 22:58:38+00:00,44,14,9,"Una cocina humanitaria en Ucrania vinculada al famoso chef José Andrés quedó destruida por el impacto de un misil ruso en la ciudad nororiental de Járkiv, según la organización benéfica que la administra. https://t.co/cgfoebt7Dr"
1513608477318467595,2022-04-11 20:02:37+00:00,0,0,1,Consulta cómo conocer el estado de la declaración y la fecha en la que se emitirá la devolución a través de la web de la Agencia Tributaria https://t.co/Q8t0LiFbp2
1512099404676743168,2022-04-07 16:06:06+00:00,10,5,1,"La Campaña de la Declaración de la Renta 2021 comienza en España el miércoles 6 de abril, fecha en la que los contribuyentes pueden comenzar a presentar los borradores de sus declaraciones. Así la puedes presentar: https://t.co/lmqxhAwlrE"
