ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1515926637795233795,2022-04-18 05:34:09+00:00,2,1,1,"Pádel, el penúltimo capricho deportivo del emir de Qatar https://t.co/HeA0xJbK2m"
1515921519288934401,2022-04-18 05:13:49+00:00,5,1,0,La fuerza despierta en el Poble Espanyol https://t.co/pASfDQ2S0d
1515916444692791301,2022-04-18 04:53:39+00:00,28,7,1,Doble sanación: adiestrar perros abandonados para recuperar la confianza de menores víctimas de violencia sexual https://t.co/0AMKmg8AfT
1515911344540819461,2022-04-18 04:33:23+00:00,10,3,2,El arzobispo de Canterbury critica el plan del Reino Unido de enviar refugiados a Ruanda https://t.co/JTNTppQqsC
1515906298323345412,2022-04-18 04:13:20+00:00,16,3,1,"La fe de Rodrygo, el 'Míster Champions' del Madrid: ""Cuando puede, siempre va a misa"" https://t.co/ZOIPtZd9Pz"
1515901216689168389,2022-04-18 03:53:08+00:00,12,2,0,"Del 'Big Data' al 'Brain Data', dentro del cerebro del futbolista: ""¿Tienes miedo al lanzar el penalti? Vamos a entrenar otra emoción"" https://t.co/VoReFl0UXY"
1515896149311463429,2022-04-18 03:33:00+00:00,9,3,0,"José Luis Mur: ""La colección ronda las 6.000 cámaras. Después, entre accesorios y que no sean cámaras, alrededor de 30.000"" https://t.co/rF553nHZcy"
1515891082139254791,2022-04-18 03:12:52+00:00,64,29,0,Enseñar y practicar la amabilidad en casa mejora tanto la resiliencia de los padres como la empatía de los niños https://t.co/eRqV7XzMPc
1515886024605454347,2022-04-18 02:52:46+00:00,5,1,15,"Ortuzar culpa al ""egoísmo"" de PSOE y de PP el haber facilitado que ""los fachas de Vox"" gobiernen con Mañueco https://t.co/lhEBBpZaM4"
1515880946762932232,2022-04-18 02:32:36+00:00,17,6,4,Una de cada 10 personas es zurda. Les envuelve todo un misterio. ¿Estas seguro de que no lo eres? Haz estas pruebas y confírmalo https://t.co/Q6NNrRPGBW
1515875846891917316,2022-04-18 02:12:20+00:00,11,3,0,Cómo estar en forma a partir de los 40: gana la batalla a los años https://t.co/Y3Y9aGG15c
1515870719338590213,2022-04-18 01:51:57+00:00,6,5,6,"Los presos de ETA celebran las ""bases sólidas hacia la independencia"" y ""avances"" en sus traslados a Euskadi https://t.co/Q4UfOOY4vB"
1515865576853364742,2022-04-18 01:31:31+00:00,16,13,1,"Sí, hay menos cantidad en el paquete de siempre. Así camuflan las marcas la subida de precios https://t.co/8NeT4s4Cqi"
1515860502961958916,2022-04-18 01:11:21+00:00,18,8,1,"Familias al borde del abismo por el Covid. Sin dinero, sin trabajo, sin casa incluso, hoy recuerdan cómo lograron salir a flote https://t.co/osr6M51jIX"
1515855391581683721,2022-04-18 00:51:03+00:00,13,4,4,"Carl Bildt: ""Ningún país nórdico quiere ser una lanza apuntando a Rusia"" https://t.co/kXIDXNpjEV"
1515850343787245571,2022-04-18 00:30:59+00:00,6,2,0,En las entrañas de la estructura de blanqueo de ‘los Castaña’ https://t.co/hYwetMMz39
1515845227986178049,2022-04-18 00:10:40+00:00,16,2,0,"Ana, la mujer que dirige 'misas' en Ávila: ""Yo nunca me he sentido discriminada en la Iglesia"" https://t.co/rW83m1UbKt"
1515840095257075720,2022-04-17 23:50:16+00:00,10,6,1,"El eterno Iwo Jima del Real Madrid: ""Cada día es un ejercicio de supervivencia sin que el que ya no sabes vivir"" https://t.co/25TI6aX0pk"
1515835039275229184,2022-04-17 23:30:10+00:00,18,9,2,Un nuevo tiroteo en EEUU deja doce heridos en un centro comercial de Carolina del Sur https://t.co/KdKTiSG8ZT
1515829925378465802,2022-04-17 23:09:51+00:00,87,32,85,El síndrome de la cara vacía: el miedo a ir a sin mascarilla https://t.co/DPCeFz57Xu
1515824818138062852,2022-04-17 22:49:33+00:00,12,2,11,"Amanda Seyfried: ""Mi trabajo produce mucha ansiedad, por suerte tengo unos terapeutas y unos medicamentos fantásticos"" https://t.co/gTcnh0j2m3"
1515819729977585673,2022-04-17 22:29:20+00:00,13,5,0,Escuela Reina Sofía: tres décadas en el laboratorio de la música del futuro https://t.co/lgOHguntUq
1515814658921349120,2022-04-17 22:09:11+00:00,16,10,11,"Corea del Norte prueba un nuevo sistema para mejorar la eficacia de sus ""armas nucleares tácticas"" https://t.co/zYcBMYAsoo"
1515809563991236628,2022-04-17 21:48:57+00:00,41,21,7,"El ministro de Defensa Sergei Shoigu, la última purga en la corte de Putin https://t.co/secYaia3Kn"
1515801903053037571,2022-04-17 21:18:30+00:00,81,35,11,"📰 Portada de EL MUNDO del 18 de abril

Ya disponible en Orbyt y en la edición digital con la mejor información https://t.co/VXesHpmnbW"
1515800782301503497,2022-04-17 21:14:03+00:00,27,11,27,"Graves daños en el sistema nervioso y lesiones en el tracto gastrointestinal, estos son los efectos devastadores que provoca un ataque nuclear en la salud https://t.co/LlpikeD9OM"
1515793148072677388,2022-04-17 20:43:43+00:00,18,1,1,"Charles Mingus, el caos sereno del jazz https://t.co/OrQR40Zrxb"
1515785538481053700,2022-04-17 20:13:28+00:00,27,16,2,"Captaba a sus víctimas a través de una oferta de trabajo en la que buscaba cuidadora para su madre, cuando las candidatas acudían a la entrevista las agredía sexualmente y las amenazaba para que no lo denunciaran https://t.co/1cJhxzCxhz"
1515777911021883402,2022-04-17 19:43:10+00:00,14,11,8,"Giuliano da Empoli: ""Los cadáveres en la calle son actores según los rusos"" https://t.co/hXkivsk9tA"
1515770335399972867,2022-04-17 19:13:04+00:00,107,61,11,Del hermano de Puig al ex marido de Oltra: las causas familiares arrastran al Gobierno valenciano https://t.co/9HEAzctlm5
1515762699648577538,2022-04-17 18:42:43+00:00,9,8,3,El blindaje marroquí de las vallas de Ceuta y Melilla reactiva la llegada de cayucos a Canarias https://t.co/pGBS3zrlFC
1515755038458748930,2022-04-17 18:12:17+00:00,52,20,32,Un meteorito que viajaba a 97.000 kilómetros por hora atravesó el cielo de parte de Cataluña y pudo ser visto desde Barcelona y zonas de Lleida https://t.co/1QzLN1Lq59
1515750270168412170,2022-04-17 17:53:20+00:00,20,17,4,Un petrolero con más de 750 toneladas de gasóleo se ha hundido en las costas de Túnez https://t.co/d6L6a4IpXE
1515742654360965129,2022-04-17 17:23:04+00:00,304,90,412,Felipe VI da otro paso para diferenciarse del reinado anterior y limita la religión de Casa Real al ámbito privado https://t.co/QAsJeNE0Sq
1515735006467047424,2022-04-17 16:52:41+00:00,240,74,44,"Ucrania responde al ultimátum de Rusia: ""Nuestras fuerzas lucharán hasta el final en Mariupol"" https://t.co/AVNvQbE2Vc"
1515727337890983950,2022-04-17 16:22:12+00:00,96,43,121,"Marine Le Pen y sus allegados, acusados de malversar unos 600.000 euros de dinero público europeo durante sus mandatos como eurodiputados https://t.co/b93THN3S45"
1515719677053476868,2022-04-17 15:51:46+00:00,6,1,0,El Real Madrid toma aire antes de su hora de la verdad https://t.co/mcRVuK3N9E
1515712031311204352,2022-04-17 15:21:23+00:00,18,2,1,"Tsitsipas pone fin a la travesía de Davidovich, combativo hasta la última bola en Montecarlo https://t.co/KS4zJfJJL8"
1515709793817743364,2022-04-17 15:12:30+00:00,31,15,13,"Rusia califica de preocupante la actividad militar de la OTAN en el Ártico y avisa de ""incidentes no intencionados"" https://t.co/3xJO4C8VRb"
1515708978377936896,2022-04-17 15:09:15+00:00,136,45,42,"""Hicimos lo que pudimos para defender Mariupol, pero no teníamos más elección que rendirnos"". Este fue el último mensaje del soldado Aiden. Su familia hace campaña para pedir la intervención del Gobierno británico
 https://t.co/DGnFyhveqP"
1515701399933366276,2022-04-17 14:39:08+00:00,9,2,14,"La luna de miel con sobresalto de Feijóo: ""El PP va hacia arriba claramente"" 

✍ Lucía Méndez https://t.co/Kc2NWyHsFc"
1515693797124059142,2022-04-17 14:08:56+00:00,41,17,10,"El Papa pide a las naciones que ""escuchen el grito de paz"" y lanza ""la pregunta que se hicieron los científicos hace casi 60 años: ¿Vamos a poner fin a la raza humana?"" https://t.co/lKkXz7C0bq"
1515686106200788996,2022-04-17 13:38:22+00:00,9,2,2,El motivo por el que no hubo ningún muerto en la tragedia del Metro de Nueva York https://t.co/Deemzzd3Be
1515683716479307777,2022-04-17 13:28:52+00:00,4,2,1,"Las mejores novedades musicales de cada semana recopiladas en nuestra playlist de Spotify. Una lista de Pablo Gil.

Escúchala completa aquí: https://t.co/qygHDLZgwl https://t.co/HnVVFSSBen"
1515676368582946819,2022-04-17 12:59:40+00:00,10,1,1,"París-Roubaix, el infierno que desnuda las carencias de los españoles: ""No tenemos costumbre"" https://t.co/LCQyWNpfym"
1515668777010188295,2022-04-17 12:29:30+00:00,141,59,87,Gran preocupación en Bruselas por el férreo apoyo de América Latina a Putin https://t.co/sfQJWbxkX0
