ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1515827786019188741,2022-04-17 23:01:21+00:00,3,1,0,"La asediada Mariúpol resiste y ""luchará hasta el final"" https://t.co/1wslFogUu3"
1515820548646973445,2022-04-17 22:32:36+00:00,1,0,0,El regreso del detective león en el nuevo capítulo de 'La que se avecina' https://t.co/tuoax6UfMw
1515819197368049673,2022-04-17 22:27:13+00:00,3,0,0,La 1 de TVE estrena la décima temporada de 'Masterchef' https://t.co/Q2HJKN85nb
1515817839021760515,2022-04-17 22:21:50+00:00,0,0,0,'Inocentes' en Antena 3: Gülben no es capaz de acostumbrarse al matrimonio https://t.co/4OJIyv7d0C
1515812854489886728,2022-04-17 22:02:01+00:00,0,1,0,"Muere la actriz Liz Sheridan, popular por las series 'Alf' y 'Seinfeld' https://t.co/420azuXRnQ"
1515807323121459205,2022-04-17 21:40:02+00:00,2,0,0,"👩10 consejos para cuidar tus pestañas, ya sean naturales, con extensiones, 'lifting' o bótox

✍Lo cuenta @LauraEstirado vía Club de Estilo https://t.co/rHCA7FbVeh"
1515804617493336064,2022-04-17 21:29:17+00:00,12,3,2,🔴Perú plantea la castración química para los violadores https://t.co/TsJPCvxpe5
1515802890320990210,2022-04-17 21:22:25+00:00,4,0,1,Sevilla-Real Madrid: Una remontada que huele a título de Liga https://t.co/VoHZweJluB
1515798094025302017,2022-04-17 21:03:22+00:00,1,1,0,🗞La portada de EL PERIÓDICO del 18 de abril de 2022 https://t.co/bdccnZHdbv
1515782989766172678,2022-04-17 20:03:21+00:00,3,1,0,Dieciocho muertos en las carreteras desde el inicio de la Semana Santa https://t.co/fWag6GGABN
1515778376065298433,2022-04-17 19:45:01+00:00,4,3,2,"📍ESPECIAL INTERACTIVO | Entrañas de Barcelona en riesgo de colapso

➡Varios tramos privados del alcantarillado no se han limpiado desde hace décadas. Si no se aborda el problema, el gasto público y las consecuencias medioambientales pueden ser fatales

https://t.co/P71jTSjSYz"
1515775130265395200,2022-04-17 19:32:07+00:00,0,0,0,Delgado usó montajes de la extrema derecha para apartar al fiscal del caso Tándem-Villarejo https://t.co/6AeweWvs93
1515773008895430669,2022-04-17 19:23:41+00:00,3,2,1,Catalunya ha exhumado en 22 años menos del 10% de sus fosas de la Guerra Civil https://t.co/IeSHq6Hw6Q
1515770960401645577,2022-04-17 19:15:33+00:00,0,0,0,La historia con chocolate sabe mejor  + Historia https://t.co/jqXeQCIa25
1515770828524343296,2022-04-17 19:15:01+00:00,1,0,0,"📱ESPECIAL INTERACTIVO | Caras robadas en las redes sociales

➡Cuatro víctimas de la usurpación de rostro en plataformas como Instagram o Tinder relatan el calvario que pasaron tras descubrir que las estaban suplantando

https://t.co/fTSAKnfOrU"
1515768880932827142,2022-04-17 19:07:17+00:00,3,3,0,"Castilla y León, nuevo campo de batalla por la Memoria Histórica https://t.co/hQ41rPz2GT"
1515766769125838849,2022-04-17 18:58:54+00:00,0,0,0,La crítica de Monegal: Un arzobispo castrense y varios Moisés peleados https://t.co/VTsEcFMWw1
1515764716978810882,2022-04-17 18:50:44+00:00,0,0,1,En estado crítico un niño de 13 años atropellado en Menorca cuando iba en patinete https://t.co/XcHm1pVxHw
1515762635253460999,2022-04-17 18:42:28+00:00,0,0,1,"Raúl de Tomás: ""No me ha dado tiempo a quitar la mano"" https://t.co/u9Hagsrlts"
1515760880625065994,2022-04-17 18:35:30+00:00,2,1,0,"💍 La historia del arte que esconden las paredes de #Bridgerton y recopila @profesoraarte, por @carolAlvarezMo https://t.co/edjPweP3AS"
1515759504335454214,2022-04-17 18:30:01+00:00,0,0,0,"📱ESPECIAL INTERACTIVO | Historias tridimensionales, en EL PERIÓDICO

El diario explora nuevos formatos en realidad aumentada. Pruébalos todos 👇

https://t.co/TUpInMQwQg"
1515759053900861445,2022-04-17 18:28:14+00:00,3,1,2,La Fiscalía francesa abre una investigación a Le Pen una semana antes de las presidenciales https://t.co/ZWoeUhmyfv
1515757025220829190,2022-04-17 18:20:10+00:00,0,0,0,Una mujer grave y tres menores más heridos al despeñarse 10 metros un coche https://t.co/M9dOasCZcK
