ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1543746630079418370,2022-07-04 00:00:52+00:00,1,0,0,"El Papa pide ""paz"" y ""reconciliación"" para el Congo en una misa en Roma tras haber cancelado su viaje al país
https://t.co/pN8rmnRW4F"
1543735092161421314,2022-07-03 23:15:01+00:00,14,2,13,"#LoMásLeído | Alejandro Estrada tiene 27 años, es homosexual, tiene parálisis cerebral y es sordo. El próximo 9 de julio irá al desfile del Orgullo en Madrid para decir ""¡basta!"" a las discriminaciones a las personas con discapacidad y LGTBI https://t.co/IhQbSaT01o"
1543731402289471489,2022-07-03 23:00:22+00:00,7,2,1,"Las autoridades de Australia instan a evacuar las viviendas por los estragos de las inundaciones provocadas por las lluvias torrenciales de los últimos días 
https://t.co/U2lohNFdPx"
1543727540715528192,2022-07-03 22:45:01+00:00,9,7,0,#LoMásLeído | Desarticulan una organización criminal que gestionaba una fábrica itinerante de producción clandestina de tabaco. Han detenido a cinco personas y han intervenido casi 15 millones de cigarrillos https://t.co/iRq4KUM6d8
1543723770506055681,2022-07-03 22:30:02+00:00,7,8,0,"Corea del Norte reprueba a Estados Unidos por ""expresar abiertamente su hostilidad"" contra el país en el marco de la OTAN celebrada en Madrid https://t.co/wp0B0lZdea"
1543719992595718144,2022-07-03 22:15:01+00:00,8,10,10,"#LoMásLeído | Unicef alerta de la segregación escolar en Madrid, donde solo el 39% de niños están escolarizados en centros públicos https://t.co/MC6MZvQEW0"
1543716353881919489,2022-07-03 22:00:34+00:00,14,1,8,"Yolanda Díaz toma las riendas de la izquierda con el arranque de 'Sumar', arropada por dirigentes de la sociedad civil
https://t.co/nQinvDPslr"
1543713809675739143,2022-07-03 21:50:27+00:00,27,12,12,"#LoMásLeído | La NASA advierte de que China podría estar planificando ""apoderarse"" de la Luna
https://t.co/ZuhItjA1Mp"
1543710311152324609,2022-07-03 21:36:33+00:00,4,1,27,"#LoMásLeído | Lastra dice que el PP solo quiere ciudadanos ""callados y sin derechos"" para ""poder hacer y deshacer a su antojo""
https://t.co/mtKdpr1Z54"
1543707412380749824,2022-07-03 21:25:02+00:00,22,11,4,Rescatados 50 niños retenidos para su posterior tráfico en el sótano de una iglesia en el estado nigeriano de Ondo https://t.co/Ev5rfd4rYW
1543704356612182022,2022-07-03 21:12:53+00:00,14,7,3,"#LoMásDestacado | Argelia reprocha el ""asesinato a sangre fría"" de migrantes en la valla de Melilla
https://t.co/UeGXcufpcU"
1543700454684725248,2022-07-03 20:57:23+00:00,23,6,1,"La princesa Leonor y la infanta Sofía han cerrado este domingo por la tarde su primera visita oficial a Girona

➡️Han visitado el Teatro-Museo Dalí y se han reunido con jóvenes que participan en programas de la Fundación Princesa de Girona https://t.co/lXBLn3SzaQ https://t.co/mg5y0uCklv"
1543692516406460417,2022-07-03 20:25:50+00:00,5,10,0,"Al menos seis personas han muerto y ocho más han resultado heridas por un alud en un glaciar de los Alpes italianos 
https://t.co/DDdBrq7lEx"
1543687784690601989,2022-07-03 20:07:02+00:00,12,6,5,El ministro de Exteriores de Venezuela viaja a Moscú para reunirse con su homólogo ruso y  profundizar en la cooperación de ambos países https://t.co/zWdERh2bnr
