ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1516106791402278915,2022-04-18 17:30:01+00:00,1,0,2,"El contrato de las mascarillas se aprobó por un grupo de WhatsApp
 https://t.co/EuM1qsBu2a"
1516099242519052292,2022-04-18 17:00:01+00:00,2,0,2,"Risto Mejide, a Almeida: ""Me parece indecente que se presente como una víctima""
 https://t.co/K8d0HAQVmH"
1516091692373487623,2022-04-18 16:30:01+00:00,0,0,1,"¿Es un montaje, retoque o un efecto óptico la foto de Don Juan Carlos, sus hijas y sus nietos?
 https://t.co/RNBWuaY2VL"
1516084143779729412,2022-04-18 16:00:02+00:00,0,0,2,"Los asesores son elegidos 'a dedo' por los políticos, pero no pueden tener cargos importantes en un partido https://t.co/tebtWhLE9W"
1516076593537507332,2022-04-18 15:30:01+00:00,0,0,1,"La mascarilla no será obligatoria en interiores desde el miércoles
 https://t.co/ZWe94dieLK"
1516069042993659904,2022-04-18 15:00:01+00:00,0,0,2,"Zelenski pide tanques, aviones y defensa antiaérea para combatir a Rusia
 https://t.co/plf28YrwDb"
1516061492839337984,2022-04-18 14:30:01+00:00,34,15,8,"Gerard Piqué y Luis Rubiales podrían haber incumplido dos artículos del código ético de la Real Federación Española de Fútbol
 https://t.co/O6o5TCH7mM"
1516053945059360779,2022-04-18 14:00:02+00:00,2,0,1,"El líder del PP asegura que compatibilizar su agenda en la Xunta y en el partido ""no es fácil""
 https://t.co/7r0oQlXNuE"
1516046393579876355,2022-04-18 13:30:01+00:00,0,0,1,"La prestación varía en función del número de jornadas reales trabajadas, según los datos del SEPE https://t.co/j2Jn3sK5Ls"
1516038844226879488,2022-04-18 13:00:01+00:00,5,0,2,"El fiscal de las comisiones de las mascarillas en Madrid, Luis Rodríguez Sol, solicita una fianza no inferior 891.227 euros https://t.co/EvejOpnW9L"
1516023745521008640,2022-04-18 12:00:01+00:00,2,1,1,"El IPC sube en marzo un 9,8 % interanual, su tasa más alta en 37 años https://t.co/y8cUjwDD5E"
1516016194494636035,2022-04-18 11:30:01+00:00,1,2,1,La fiscalía investiga si detrás de este tipo de publicaciones hay una una “red criminal” de tráfico de órganos en Venezuela https://t.co/w3D9imwYc0
1516008644625813511,2022-04-18 11:00:01+00:00,4,0,1,Cuatro trabajadores resultaron heridos. El chef tiene 350 cocinas funcionando en Ucrania para dar alimento https://t.co/vbQxSlQ8N4
1516001097659424773,2022-04-18 10:30:02+00:00,5,3,9,Pedro Sánchez llama a la responsabilidad ciudadana para el uso de las mascarillas en interiores a partir del 20 de abril https://t.co/V7KP6VoL2y
1515993545164926979,2022-04-18 10:00:01+00:00,11,5,3,Los expertos aconsejan no forzar a los adolescentes a quitarse las mascarillas https://t.co/mYo0M9HVzI
1515985995325390853,2022-04-18 09:30:01+00:00,3,2,1,"El calor con más 30 grados persiste en las islas Canarias, y llega una masa de calima que reducirá la calidad del aire https://t.co/46BlzB3XXp"
1515978445330784261,2022-04-18 09:00:01+00:00,9,8,2,"En ese contrato cerrado con Sela –compañía publica saudí- la Federación de Luis Rubiales se garantizó 40 millones de euros mientras la empresa de Piqué se embolsaría seis millones por cada año firmado, un total de 26  https://t.co/oX3QwVfSvh"
1515970895378010120,2022-04-18 08:30:01+00:00,0,1,1,Juan Soto Ivars contesta a los que han criticado su análisis del libro doctrinario para etarras https://t.co/0BpBx2iwS3
1515963345890910211,2022-04-18 08:00:01+00:00,0,0,1,La línea Algeciras-Ceuta sigue operando para pasajeros y vehículos al igual que la de Algeciras y Tarifa con Tánger https://t.co/W98RhzvBmN
1515955799352385536,2022-04-18 07:30:02+00:00,0,1,1,"El bebé sufre un traumatismo craneoencefálico severo a consecuencia de la caída desde un segundo piso en Fuenlabrada, Madrid https://t.co/3PLZsaZVTh"
