ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1516012376042229760,2022-04-18 11:14:51+00:00,0,0,0,"Bab el Mandeb: la 'Puerta de la Catástrofe' que vio el primer gran éxodo humano

Vía @salyroca https://t.co/jeJE0cdc20"
1516010779656470533,2022-04-18 11:08:30+00:00,6,3,0,"OPINIÓN | ""Hay algo enternecedor que equipara la fe de los creyentes y de los forofos políticos, esa peña que lleva décadas votando al PP esperando que dejen de robar o esa otra que vota al PSOE esperando que se haga de izquierdas"". Por David Torres https://t.co/O92vljcdsT"
1516008967226466309,2022-04-18 11:01:18+00:00,33,12,2,"El tuit viral de Rufián sobre la foto de Juan Carlos I más comentada durante este fin de semana

https://t.co/ho3nqwq6NI https://t.co/3zUcTFERt0"
1516007302461071360,2022-04-18 10:54:41+00:00,17,3,7,"🤔 ¿Sigue estando vigente ser republicano?

🗣️ @gabrielrufian: “El republicanismo dice algo tan hermoso y que puede llegar a entender tanta gente como que nadie es más que nadie. He aquí su grandeza”

https://t.co/2Xc3IxrJTE https://t.co/WBFECOMEyU"
1516006276798558209,2022-04-18 10:50:37+00:00,9,9,2,"Dos jóvenes de 22 y 23 años residentes en Vigo denunciaron el pasado domingo ante la policía una agresión homófoba en una zona de copas de la ciudad

https://t.co/9uTbMc8Fwq"
1516004618119041028,2022-04-18 10:44:01+00:00,35,17,9,"“El traslado de la Supercopa a uno de los países en los que más Derechos Humanos se vulneran nunca tuvo más justificación que el dinero”

Por @dbollero https://t.co/660IsvQ5ZQ"
1516003234510483456,2022-04-18 10:38:31+00:00,11,10,2,"OPINIÓN | ""La intención de Feijóo es solo la de pescar votos en el caladero de la extrema derecha, algo que podría haber empezado a conseguir si se tienen en cuenta las primeras encuestas sobre su aterrizaje en Génova""

Por @pardodevera

https://t.co/V4B3xk480c"
1516001088419344385,2022-04-18 10:30:00+00:00,7,4,1,"Las condiciones laborales de los trabajadores de los invernaderos, ubicados en una finca de Níjar, han propiciado ahora el escrito conjunto de una decena de organizaciones sindicales y sociales de Suiza, Alemania, Gran
Bretaña y España

https://t.co/0lgXE8lotp"
1515999104190631943,2022-04-18 10:22:06+00:00,5,7,2,"La destrucción ambiental está fuera de control en Brasil 

Vía @nuevatribuna https://t.co/O1qPO5fNQX"
1515997127473827840,2022-04-18 10:14:15+00:00,8,6,4,"'Gordas', escrita y dirigida por Carlos Mesa, vuelve a centrar el debate en el tema de la diversidad física y la ruptura de ciertos cánones de belleza

https://t.co/9QFzqlSIRv"
1515994745486680067,2022-04-18 10:04:47+00:00,2,0,2,Los motivos por los que la invasión rusa en Ucrania ha reducido el impacto de las macrogranjas https://t.co/yLeVAzbxNQ
1515992775233347587,2022-04-18 09:56:58+00:00,3,0,0,"Tras varios años de estudio del gran cometa con diversos instrumentos, ha sido el veterano telescopio espacial Hubble el que ha hecho la de estimación definitiva de su tamaño https://t.co/rEBzThDMd3"
1515990663711580160,2022-04-18 09:48:34+00:00,23,6,3,"""Pedimos al juez nuevas medidas cautelares para que el comisionista Luis Medina presente una fianza"" https://t.co/s5sctIVRgt"
1515988697480630274,2022-04-18 09:40:45+00:00,2,0,0,"El Bernardinelli-Bernstein, descubierto recientemente, tarda tres millones de años en dar una vuelta al Sol y es más negro que el carbón

https://t.co/qxjfC6a4Jw"
1515986194743672833,2022-04-18 09:30:49+00:00,4,1,1,"La Semana Santa está evidenciando el inicio de un cambio de modelo turístico

https://t.co/XnrV4ApelH"
1515983880754450439,2022-04-18 09:21:37+00:00,8,3,1,"Pedro Sánchez insiste en que las elecciones generales se celebrarán ""en tiempo y forma"" en diciembre de 2023 https://t.co/HPzcVWaQWu"
1515981131451191296,2022-04-18 09:10:41+00:00,7,3,0,"En Guliaipole, Ucrania, llevan semanas sin agua ni electricidad, comida o medicina

Desde hace unos días, dl legendario líder anarquista Néstor Majnó ha resucitado en el corazón de sus ciudadanos para llevar a cabo la defensa de la ciudad

https://t.co/K74TC1wfK0"
1515978300744687624,2022-04-18 08:59:27+00:00,1,1,3,"""Podemos informar de que la ofensiva ya ha comenzado"", afirman las autorifdades militares ucranianas en Lugansk https://t.co/OSi6CeAajb"
1515976020112855040,2022-04-18 08:50:23+00:00,3,1,1,"Vuelve Michelle Pfeiffer como Primera Dama

Vía @ZelebTV https://t.co/iU6XLre1VX"
1515973386228445185,2022-04-18 08:39:55+00:00,4,1,1,Ocho relatos cortos convertidos en capítulos de unos 30 minutos de duración y con el feminismo como hilo conductor https://t.co/zgIG7wLon8
1515971056351199236,2022-04-18 08:30:39+00:00,13,4,3,"Mara Jiménez, una de las actrices de 'Gordas': ""Tenemos derecho a ser diferentes y a ser felices con nuestras diferencias, que no todo vale para encajar en la sociedad""

https://t.co/V16ZrGoYSP"
1515968437423648771,2022-04-18 08:20:15+00:00,7,3,2,"Una nueva reflexión de Rufián sobre el rey emérito que ha triunfado en las redes sociales

https://t.co/gsMVroFZQy"
1515966138500501505,2022-04-18 08:11:07+00:00,7,5,2,La nueva oleada de rebrotes atribuida a la variante ómicron está provocando cifras récord de contagios no vistas desde el inicio de la pandemia https://t.co/EDllJOskMQ
1515963550719782919,2022-04-18 08:00:50+00:00,20,9,6,"""Lo único en lo que la memoria histórica puede dividirnos es en estar a favor o estar en contra de los derechos humanos. Una cosa es el retroceso del discurso público y otra que eso nos haga perder el norte"" 

Por Iván Aparicio García https://t.co/oQHaXWJKfK"
1515962225621614598,2022-04-18 07:55:34+00:00,4,2,0,"OPINIÓN | “Nosotros vivimos hoy una era de transición; uno de esos tiempos interesantes contra los que previene un célebre proverbio oriental”

Por @gerclouds

https://t.co/XuLLAfdZH5"
1515960955750043651,2022-04-18 07:50:31+00:00,2,1,0,La carambola por la que la guerra de Ucrania ha reducido el impacto de las macrogranjas en ocho claves https://t.co/Af9cL0tede
1515959030111477760,2022-04-18 07:42:52+00:00,6,5,81,"El blanqueamiento de la energía nuclear

Vía @nuevatribuna https://t.co/AOm37EIZGb"
1515956884108414978,2022-04-18 07:34:20+00:00,6,7,1,"La oposición denuncia la inacción del Ejecutivo autonómico y denuncia que siga cobrando un sueldo como presidente de Galicia mientras se dedica plenamente a instalarse en su nuevo cargo al frente del PP

https://t.co/2cxEl8N4XC"
1515954887712034818,2022-04-18 07:26:24+00:00,2,3,0,"Siete claves para no perderse en las pugnas internas del PP valenciano

https://t.co/VZSmWDWshN"
1515952913046253570,2022-04-18 07:18:34+00:00,2,1,0,"El incendio forestal se inició sobre las 5:27 de la madrugada del domingo

https://t.co/SIyFTJP0ug"
